I am hungry | Éhes vagyok
I gave | Adtam
I took | Elvettem
I brought | Hoztam
I carried | Vittem
I pushed | Tol tam
I pulled | Húztam
I lifted | Felemeltem
I dropped | Leejtettem
I hit | Megütöttem
I kicked | Megrúgtam
I caught | Elkaptam
I threw | Eldobtam
I built | Építettem
I destroyed | Elpusztítottam
I drew | Rajzoltam
I painted | Festettem
I wrote | Írtam
I read | Olvastam
I counted | Számoltam
I measured | Mértem
I weighed | Lemértem
I mixed | Összekevertem
I cut | Elvágtam
I broke | Eltörtem
I repaired | Megjavítottam
I checked | Ellenőriztem
I tested | Teszteltem
I chose | Választottam
I decided | Döntöttem
I planned | Terveztem
I organized | Szerveztem
I prepared | Előkészítettem
I waited | Vártam
I hoped | Reméltem
I wished | Óhajtottam
I dreamed | Álmodtam
I imagined | Elképzeltem
I believed | Hittem
I doubted | Kételkedtem
I trusted | Bíztam benne
I feared | Féltem
I worried | Aggódtam
I relaxed | Pihentem
I enjoyed | Élveztem
I hated | Utáltam
I loved | Szerettem
I preferred | Inkább szerettem
I needed | Szükségem volt rá
I wanted | Akartam
I managed | Sikerült
I celebrated | Ünnepeltem
I thanked | Megköszöntem
I apologized | Bocsánatot kértem
I forgave | Megbocsátottam
I regretted | Megbántam
I complained | Panaszkodtam
I described | Leírtam
I mentioned | Megemlítettem
I reminded | Emlékeztettem
I warned | Figyelmeztettem
I promised | Megígértem
I refused | Megtagadtam
I accepted | Elfogadtam
I allowed | Megengedtem
I prevented | Megakadályoztam
I helped | Segítettem
I asked for help | Segítséget kértem
I offered help | Segítséget ajánlottam
I received help | Segítséget kaptam
I gave advice | Tanácsot adtam
I followed advice | Követtem a tanácsot
I ignored advice | Figyelmen kívül hagytam a tanácsot
I made a mistake | Hibáztam
I corrected it | Kijavítottam
I admitted it | Beismertem
I denied it | Tagadtam
I agreed | Beleegyeztem
I disagreed | Nem értettem egyet
I discussed | Megvitattam
I argued | Vitáztam
I negotiated | Tárgyaltam
I signed | Aláírtam
I sent an email | Küldtem egy e-mailt
I received an email | Kaptam egy e-mailt
I called back | Visszahívtam
I left a message | Üzenetet hagytam
I got a message | Kaptam egy üzenetet
I replied | Válaszoltam
I forwarded | Továbbítottam
I attached | Csatoltam
I downloaded | Letöltöttem
I uploaded | Feltöltöttem
I saved | Elmentettem
I deleted | Töröltem
I updated | Frissítettem
I installed | Telepítettem
I uninstalled | Eltávolítottam
I restarted | Újraindítottam
I turned on | Bekapcsoltam
I turned off | Kikapcsoltam
you are welcome | szívesen
you look tired | fáradtnak tűnsz
you speak English well | jól beszélsz angolul
you have to go now | most menned kell
you should rest | pihenned kellene
you can do it | meg tudod csinálni
you will be fine | minden rendben lesz veled
you are right | igazad van
you are wrong | tévedsz
you are joking | viccelsz
you are kidding | csak ugratsz
you are late | elkéstél
you are early | korán jöttél
you are here | itt vagy
you are there | ott vagy
you are busy | elfoglalt vagy
you are free | szabad vagy
you are kind | kedves vagy
you are brave | bátor vagy
you are strong | erős vagy
you are weak | gyenge vagy
you are fast | gyors vagy
you are slow | lassú vagy
you are smart | okos vagy
you are funny | vicces vagy
you are quiet | csendes vagy
you are loud | hangos vagy
you are important | fontos vagy
you are ready | készen állsz
you are not ready | nem vagy készen
you are next | te következel
you are first | te vagy az első
you are last | te vagy az utolsó
you are safe | biztonságban vagy
you are in danger | veszélyben vagy
you are alone | egyedül vagy
you are with me | velem vagy
you are my friend | a barátom vagy
you are my best friend | a legjobb barátom vagy
you are right about that | abban igazad van
you are wrong about this | ebben tévedsz
you are the best | te vagy a legjobb
you are the one | te vagy az
you are amazing | elképesztő vagy
you are wonderful | csodálatos vagy
you are beautiful | gyönyörű vagy
you are handsome | helyes vagy
you are loved | szeretve vagy
you are missed | hiányzol
you are remembered | emlékeznek rád
you are invited | meg vagy hívva
you are welcome here | szívesen látunk itt
you are expected | várnak rád
you are needed | szükség van rád
you are wanted | akarnak
you are free to go | szabadon elmehetsz
you are allowed to stay | maradhatsz
you are not allowed here | nem maradhatsz itt
you are making progress | haladsz
you are improving | fejlődsz
you are learning fast | gyorsan tanulsz
you are doing well | jól csinálod
you are doing great | nagyon jól csinálod
you are trying hard | nagyon igyekszel
you are wasting time | időt pazarolsz
you are wasting energy | energiát pazarolsz
you are losing control | elveszted az irányítást
you are gaining confidence | magabiztosabb leszel
you are making me laugh | megnevettetsz
you are making me nervous | idegessé teszel
you are driving me crazy | az őrületbe kergetsz
you are helping me | segítesz nekem
you are hurting me | bántasz
you are scaring me | megijesztesz
you are confusing me | összezavarsz
you are amazing me | lenyűgözöl
you are disappointing me | csalódást okozol nekem
you are proud of me | büszke vagy rám
you are jealous of me | féltékeny vagy rám
he is coming | jön
he is leaving | elmegy
he is sleeping | alszik
he is working | dolgozik
he is studying | tanul
he is driving | vezet
he is cooking | főz
he is eating | eszik
he is drinking | iszik
he is talking | beszél
he is listening | hallgat
he is watching | néz
he is waiting | vár
he is running | fut
he is walking | sétál
he is laughing | nevet
he is crying | sír
he is shouting | kiabál
he is whispering | suttog
he is reading | olvas
he is writing | ír
he is drawing | rajzol
he is singing | énekel
he is dancing | táncol
he is playing | játszik
he is winning | nyer
he is losing | veszít
he is trying | próbálkozik
he is giving up | feladja
he is not giving up | nem adja fel
he is brave | bátor
he is scared | fél
he is angry | mérges
he is happy | boldog
he is sad | szomorú
he is tired | fáradt
he is sick | beteg
he is hurt | megsérült
he is lost | eltévedt
he is late | elkésik
he is early | korán jön
he is here | itt van
he is there | ott van
he is outside | kint van
he is inside | bent van
he is upstairs | fent van
he is downstairs | lent van
she is beautiful | gyönyörű
she is talented | tehetséges
she is smart | okos
she is kind | kedves
she is friendly | barátságos
she is shy | félénk
she is confident | magabiztos
she is nervous | ideges
she is excited | izgatott
she is calm | nyugodt
she is relaxed | laza
she is stressed | stresszes
she is busy | elfoglalt
she is free | szabad
she is married | házas
she is single | egyedülálló
she is pregnant | terhes
she is a mother | ő egy anya
she is a teacher | ő egy tanár
she is a doctor | orvos
she is a student | diák
she is working hard | keményen dolgozik
she is doing her best | mindent megtesz
she is making progress | halad
she is improving | fejlődik
she is succeeding | sikeres
she is failing | kudarcot vall
she is learning | tanul
she is teaching | tanít
she is helping | segít
she is asking | kérdez
she is answering | válaszol
she is explaining | magyaráz
she is showing | mutat
she is telling | elmondja
she is lying | hazudik
she is telling the truth | igazat mond
we are together | együtt vagyunk
we are friends | barátok vagyunk
we are family | család vagyunk
we are ready | készen állunk
we are leaving | elmegyünk
we are coming | jövünk
we are waiting | várunk
we are trying | próbálkozunk
we are learning | tanulunk
we are growing | növünk
we are changing | változunk
we are improving | fejlődünk
we are winning | nyerünk
we are losing | veszítünk
we are safe | biztonságban vagyunk
we are in trouble | bajban vagyunk
we are together in this | ebben együtt vagyunk
we are proud of you | büszkék vagyunk rád
we are here for you | itt vagyunk neked
we are counting on you | számítunk rád
they are coming | jönnek
they are leaving | elmennek
they are waiting | várnak
they are working | dolgoznak
they are studying | tanulnak
they are playing | játszanak
they are talking | beszélgetnek
they are laughing | nevetnek
they are singing | énekelnek
they are dancing | táncolnak
they are running | futnak
they are walking | sétálnak
they are driving | vezetnek
they are traveling | utaznak
they are sleeping | alszanak
they are eating | esznek
they are drinking | isznak
they are happy | boldogok
they are sad | szomorúak
they are tired | fáradtak
they are busy | elfoglaltak
they are free | szabadok
they are ready | készen állnak
they are late | elkésnek
they are early | korán jönnek
they are here | itt vannak
they are there | ott vannak
they are outside | kint vannak
they are inside | bent vannak
they are right | igazuk van
they are wrong | tévednek
they agree with us | egyetértenek velünk
they disagree | nem értenek egyet
they support us | támogatnak minket
they help us | segítenek nekünk
they need us | szükségük van ránk
they trust us | bíznak bennünk
they believe us | hisznek nekünk
they follow us | követnek minket
they lead us | vezetnek minket
they invited us | meghívtak minket
they welcomed us | üdvözöltek minket
they thanked us | megköszönték nekünk
they apologized | bocsánatot kértek
they explained everything | mindent elmagyaráztak
they promised | megígérték
they kept their promise | betartották az ígéretüket
they broke their promise | megszegték az ígéretüket
they succeeded | sikert értek el
they failed | kudarcot vallottak
they tried again | újra megpróbálták
they gave up | feladták
they did not give up | nem adták fel
they won | nyertek
they lost | veszítettek
they celebrated | ünnepeltek
they mourned | gyászoltak
they built it | megépítették
they destroyed it | elpusztították
they found it | megtalálták
they lost it | elveszítették
they fixed it | megjavították
they broke it | eltörték
it is raining | esik az eső
it is snowing | havazik
it is sunny | süt a nap
it is cloudy | felhős az ég
it is windy | fúj a szél
it is cold | hideg van
it is hot | meleg van
it is warm | langyos van
it is cool | hűvös van
it is dark | sötét van
it is light | könnyű
it is early | korán van
it is late | késő van
it is time to go | ideje menni
it is time to leave | ideje elindulni
it is time to sleep | ideje aludni
it is time to wake up | ideje felkelni
it is important | fontos
it is necessary | szükséges
it is possible | lehetséges
it is impossible | lehetetlen
it is easy | könnyű
it is difficult | nehéz
it is simple | egyszerű
it is complicated | bonyolult
it is expensive | drága
it is cheap | olcsó
it is free | szabad
it is worth it | megéri
it is not worth it | nem éri meg
it is dangerous | veszélyes
it is safe | biztonságos
it is interesting | érdekes
it is boring | unalmas
it is exciting | izgalmas
it is disappointing | csalódást keltő
it is surprising | meglepő
it is annoying | idegesítő
it is funny | vicces
it is sad | szomorú
it is beautiful | gyönyörű
it is ugly | csúnya
it is new | új
it is old | régi
it is big | nagy
it is small | kicsi
it is long | hosszú
it is short | rövid
it is wide | széles
it is narrow | keskeny
it is deep | mély
it is shallow | sekély
it is heavy | nehéz
it is fast | gyors
it is slow | lassú
it works | működik
it does not work | nem működik
it is broken | eltört
it is fixed | megjavították
it is ready | készen áll
it is finished | kész van
it is open | nyitva van
it is closed | zárva van
it is available | elérhető
it is sold out | elfogyott
this is my house | ez az én házam
this is my car | ez az én autóm
this is my phone | ez az én telefonom
this is my bag | ez az én táskám
this is my key | ez az én kulcsom
this is my book | ez az én könyvem
this is my pen | ez az én tollam
this is my friend | ez az én barátom
this is my family | ez az én családom
this is my job | ez az én munkám
this is my choice | ez az én választásom
this is my decision | ez az én határozatom
this is my problem | ez az én problémám
this is my responsibility | ez az én felelősségem
this is important | ez fontos
this is urgent | ez sürgős
this is serious | ez komoly
this is a joke | ez egy vicc
this is the truth | ez az igazság
this is a lie | ez egy hazugság
this is the beginning | ez a kezdet
this is the end | ez a vég
this is the way | ez a módja
this is the place | ez az a hely
this is the one | ez az
this is what I mean | erre gondolok
this is what I wanted | ezt akartam
this is what I need | erre van szükségem
this is what I said | ezt mondtam
that is correct | az helyes
that is wrong | ez helytelen
that is true | ez igaz
that is false | ez hamis
that is fine | ez rendben van
that is okay | ez jó
that is enough | az elég
that is too much | túl sok
that is too little | túl kevés
that is amazing | ez elképesztő
that is terrible | ez szörnyű
that is wonderful | ez csodálatos
that is awful | ez borzalmas
that is strange | ez furcsa
that is normal | ez normális
that is unusual | ez szokatlan
that is common | ez gyakori
that is rare | ez ritka
that is yours | az a tiéd
that is mine | az az enyém
that is his | az az övé
that is hers | az az övé
that is ours | az a miénk
that is theirs | az az övék
that is the reason | ez az ok
that is the problem | ez a probléma
that is the solution | ez a megoldás
that is the answer | az a válasz
that is the question | ez a kérdés
there is a problem | van egy probléma
there is a solution | van megoldás
there is a way | van egy út
there is hope | van remény
there is no hope | nincs remény
there is time | van idő
there is no time | nincs idő
there is a chance | van esély
there is no chance | nincs esély
there is a mistake | van egy hiba
there is no mistake | nincs hiba
there is a difference | van különbség
there is no difference | nincs különbség
there is something | van valami
there is nothing | nincs semmi
there is someone | van valaki
there is no one | nincs senki
there is food | van étel
there is water | van víz
there is money | van pénz
there is enough | van elég
there is not enough | nincs elég
I understand | értem
I understood | megértettem
I will try | megpróbálom
I will help | segíteni fogok
I will wait | várni fogok
I will come | jönni fogok
I will go | menni fogok
I will stay | maradni fogok
I will call | felhívom
I will write | írni fogok
I will send | elküldöm
I will bring | hozni fogom
I will take | viszem
I will find | megtalálom
I will keep | megtartom
I will lose | veszíteni fogok
I will win | nyerni fogok
I will learn | megtanulom
I will teach | tanítani fogok
I will ask | megkérdezem
I will answer | válaszolok
I can hear you | hallak téged
I see you | látlak
I notice you | észreveszlek
I respect you | tisztelek téged
I admire you | csodállak
I forgive you | megbocsátok neked
I believe you | hiszek neked
I trust you | bízom benned
I need you | szükségem van rád
I want you | akarlak
I choose you | téged választalak
I follow you | követlek
I support you | támogatlak
I understand you | megértelek
I feel you | érzem, mit érzel
I miss you already | már most hiányzol
I will never forget you | soha nem felejtelek el
I am proud of you | büszke vagyok rád
I am thinking of you | rád gondolok
I am waiting for you | rád várok
I am looking for you | téged kereslek
I am calling you | hívlak
I am texting you | üzenetet írok neked
I am writing to you | írok neked
I am sending this to you | ezt neked küldöm
I am doing this for you | ezt neked csinálom
I am here for you | itt vagyok neked
I will always be there for you | mindig itt leszek neked
you are important to me | fontos vagy nekem
you mean a lot to me | sokat jelentesz nekem
you make me happy | boldoggá teszel
you make me smile | mosolyra késztetsz
you make me feel safe | biztonságban érzem magam veled
you make me feel loved | szeretve érzem magam veled
you make me nervous | idegessé teszel
you make me angry | feldühítesz
you make me laugh | megnevettetsz
you make me cry | megsiratasz
you make a difference | változást hozol
you make mistakes | hibázol
you make progress | haladsz
you make noise | zajongsz
you make peace | békét teremtesz
you make me wonder | elgondolkodtat
he makes me laugh | megnevettet
he makes me angry | feldühít
he makes me happy | boldoggá tesz
he makes me sad | megszomorít
he makes me nervous | idegessé tesz
he makes me proud | büszkévé tesz
he makes me feel safe | biztonságban érzem magam vele
he makes me feel special | különlegesnek érzem magam vele
he knows everything | mindent tud
he knows the answer | tudja a választ
he knows the way | ismeri az utat
he knows what to do | tudja, mit kell tennie
he knows how to help | tudja, hogyan segítsen
he knows us well | jól ismer minket
he knows her | ismeri őt
he knows nothing | semmit sem tud
he knows better | jobban tudja
he knows that | tudja azt
he knows why | tudja, miért
he knows where | tudja, hol
he knows when | tudja, mikor
he knows who | tudja, ki
she knows how | tudja, hogyan
she knows what | tudja, mit
she knows everything about me | mindent tud rólam
she knows my secret | tudja a titkomat
she knows my name | tudja a nevemet
she knows my family | ismeri a családomat
she knows the truth | tudja az igazságot
she knows the story | ismeri a történetet
she knows the rules | ismeri a szabályokat
she knows the language | ismeri a nyelvet
she knows the culture | ismeri a kultúrát
she knows the city | ismeri a várost
we know each other | ismerjük egymást
we know the way home | ismerjük hazafelé az utat
we know what we want | tudjuk, mit akarunk
we know what we are doing | tudjuk, mit csinálunk
we know how to do it | tudjuk, hogyan csináljuk
we know how to help | tudjuk, hogyan segítsünk
we know how to solve it | tudjuk, hogyan oldjuk meg
we know the answer | tudjuk a választ
we know the truth | tudjuk az igazságot
we know the risks | ismerjük a kockázatokat
we know the benefits | ismerjük az előnyöket
they know us | ismernek minket
they know each other | ismerik egymást
they know the place | ismerik a helyet
they know the address | ismerik a címet
they know the time | tudják az időt
they know the plan | ismerik a tervet
they know the secret | tudják a titkot
they know the truth | tudják az igazságot
they know what happened | tudják, mi történt
they know why we came | tudják, miért jöttünk
it looks good | jól néz ki
it looks bad | rosszul néz ki
it looks nice | szépnek tűnik
it looks strange | furcsának tűnik
it looks familiar | ismerősnek tűnik
it looks different | másnak tűnik
it looks the same | ugyanolyannak tűnik
it looks new | újnak tűnik
it looks old | öregnek tűnik
it looks expensive | drágának tűnik
it feels good | jól esik
it feels bad | rossz érzés
it feels soft | puha tapintású
it feels hard | kemény tapintású
it feels warm | meleg tapintású
it feels cold | hideg tapintású
it feels heavy | nehéznek érződik
it feels light | könnyűnek érződik
it feels right | helyesnek tűnik
it feels wrong | rossznak tűnik
it sounds good | jól hangzik
it sounds bad | rosszul hangzik
it sounds interesting | érdekesen hangzik
it sounds boring | unalmasan hangzik
it sounds strange | furcsán hangzik
it sounds familiar | ismerősen hangzik
it sounds like music | zenének hangzik
it sounds like noise | zajnak hangzik
it sounds like fun | jónak hangzik
it sounds like trouble | bajnak hangzik
this tastes good | ez finom
this tastes bad | ez rossz ízű
this tastes sweet | édes ízű
this tastes sour | savanyú ízű
this tastes salty | sós ízű
this tastes bitter | keserű ízű
this smells good | jó illata van
this smells bad | rossz szaga van
this smells sweet | édes illata van
this smells fresh | friss illata van
this is mine | ez az enyém
this is yours | ez a tiéd
this is ours | ez a miénk
this is theirs | ez az övék
this is his | ez az övé
this is hers | ez az övé
this is my favorite | ez a kedvencem
this is my dream | ez az én álmom
this is my goal | ez a célom
this is my plan | ez a tervem
that was a mistake | az egy hiba volt
that was a great idea | az egy nagyszerű ötlet volt
that was fun | az jó volt
that was hard | az nehéz volt
that was easy | az könnyű volt
that was scary | az ijesztő volt
that was exciting | az izgalmas volt
that was boring | az unalmas volt
that was surprising | az meglepő volt
that was expected | az várható volt
that was not necessary | az nem volt szükséges
that was enough | az elég volt
that was too much | az túl sok volt
that was beautiful | az gyönyörű volt
that was terrible | az szörnyű volt
there is no need to worry | nincs ok az aggodalomra
there is no reason to be afraid | nincs ok a félelemre
there is no point in waiting | nincs értelme várni
there is no use crying | nincs értelme sírni
there is no doubt | nincs kétség
there is no question | nincs kérdés
there is no answer | nincs válasz
there is no way out | nincs kiút
there is no turning back | nincs visszaút
there is no going back | nincs visszaút
there is no stopping now | most már nem lehet megállni
there is no time to lose | nincs vesztegetni való idő
there is no time for that | arra nincs idő
there is no need to rush | nincs szükség sietni
there is no need to shout | nincs szükség kiabálni
there is no need to explain | nincs szükség magyarázkodni
there is no need to apologize | nincs szükség bocsánatkérésre
there is no need to be nervous | nincs szükség idegeskedni
there is no need to worry about it | nincs mit aggódni rajta
there is no need to be scared | nincs mitől félni
I am listening | hallgatózom
I am learning Hungarian | magyarul tanulok
I am trying to speak | próbálok beszélni
I am getting better | egyre jobb vagyok
I am improving every day | minden nap fejlődök
I am not perfect | nem vagyok tökéletes
I am only human | csak ember vagyok
I am doing my best | mindent megteszek
I am grateful | hálás vagyok
I am thankful for you | hálás vagyok neked
I am lucky | szerencsés vagyok
I am blessed | áldott vagyok
I am ready to start | készen állok kezdeni
I am ready to learn | készen állok a tanulásra
I am ready to go | készen állok indulni
I am ready for anything | bármire készen állok
I remember that day | emlékszem arra a napra
I remember your name | emlékszem a nevedre
I remember the place | emlékszem a helyre
I remember everything | mindenre emlékszem
I remember nothing | semmire sem emlékszem
I remember clearly | tisztán emlékszem
I remember it well | jól emlékszem rá
I forgot your name | elfelejtettem a neved
I forgot the time | elfelejtettem az időt
I forgot the date | elfelejtettem a dátumot
I forgot my keys | elfelejtettem a kulcsaimat
I forgot my phone | otthon hagytam a telefonom
I forgot to call | elfelejtettem felhívni
I forgot to ask | elfelejtettem megkérdezni
I forgot to pay | elfelejtettem fizetni
I forgot to bring it | elfelejtettem hozni
you forgot something | elfelejtettél valamit
you forgot me | megfeledkeztél rólam
you forgot about us | megfeledkeztél rólunk
you forgot your promise | megszegted az ígéreted
you forgot the way | elfelejtetted az utat
you forgot the password | elfelejtetted a jelszót
you forgot to lock the door | elfelejtetted bezárni az ajtót
you forgot to turn it off | elfelejtetted kikapcsolni
you forgot to tell me | elfelejtetted elmondani nekem
he forgot his wallet | otthon hagyta a pénztárcáját
he forgot his bag | otthon hagyta a táskáját
he forgot his coat | otthon hagyta a kabátját
he forgot his glasses | otthon hagyta a szemüvegét
he forgot to come | elfelejtett eljönni
he forgot to call | elfelejtett telefonálni
he forgot to wait | elfelejtett várni
he forgot to stop | elfelejtett megállni
she forgot my birthday | elfelejtette a születésnapomat
she forgot our anniversary | elfelejtette az évfordulónkat
she forgot the appointment | elfelejtette a találkozót
she forgot the meeting | elfelejtette a megbeszélést
she forgot to buy milk | elfelejtett tejet venni
she forgot to cook | elfelejtett főzni
she forgot to clean | elfelejtett takarítani
she forgot to pay the bill | elfelejtette kifizetni a számlát
we forgot to eat | elfelejtettünk enni
we forgot to drink | elfelejtettünk inni
we forgot to sleep | elfelejtettünk aludni
we forgot to rest | elfelejtettünk pihenni
we forgot to celebrate | elfelejtettünk ünnepelni
we forgot to thank them | elfelejtettünk megköszönni nekik
we forgot to invite her | elfelejtettük meghívni őt
we forgot to tell him | elfelejtettük neki elmondani
they forgot us | megfeledkeztek rólunk
they forgot our names | elfelejtették a nevünket
they forgot the agreement | elfelejtették a megállapodást
they forgot the rules | elfelejtették a szabályokat
they forgot to bring food | elfelejtettek enni hozni
they forgot to bring water | elfelejtettek vizet hozni
they forgot to bring gifts | elfelejtettek ajándékot hozni
they forgot to bring documents | elfelejtették a dokumentumokat hozni
it never forgets | soha nem felejt
it remembers everything | mindenre emlékszik
it stores data | adatokat tárol
it saves information | információkat ment
it keeps records | nyilvántartja
it records everything | mindent rögzít
it deletes old files | régi fájlokat töröl
it crashes sometimes | néha lefagy
this never happened | ez soha nem történt meg
this happened before | ez már megtörtént korábban
this happens often | ez gyakran megtörténik
this happens rarely | ez ritkán fordul elő
this happened yesterday | ez tegnap történt
this happened last week | ez a múlt héten történt
this happened last year | ez tavaly történt
this happens every day | ez minden nap megtörténik
this will happen again | ez újra meg fog történni
this could happen to anyone | ez bárkivel megtörténhet
that happened by accident | az véletlenül történt
that happened on purpose | az szándékosan történt
that happened long ago | az régen történt
that happened suddenly | az hirtelen történt
that happens sometimes | az néha megtörténik
that never happens | az soha nem történik meg
that will never happen | az soha nem fog megtörténni
that should not happen | annak nem szabadna megtörténnie
that could happen | az megtörténhet
that is happening now | az most történik
there is something wrong | valami nincs rendben
there is something strange | valami furcsa van
there is something missing | valami hiányzik
there is something here | van itt valami
there is something there | van ott valami
there is something inside | van benne valami
there is something outside | van kint valami
there is something in the air | valami van a levegőben
there is something I need to say | van valami, amit meg kell mondanom
there is something you should know | van valami, amit tudnod kell
I have a dream | van egy álmom
I have a plan | van egy tervem
I have an idea | van egy ötletem
I have a question for you | van egy kérdésem hozzád
I have a favor to ask | egy szívességet szeretnék kérni
I have a problem | van egy problémám
I have a solution | van egy megoldásom
I have no time | nincs időm
I have no money | nincs pénzem
I have no idea | fogalmam sincs
you have a beautiful smile | gyönyörű mosolyod van
you have kind eyes | kedves szemeid vannak
you have a good heart | jó szíved van
you have great taste | nagyszerű ízlésed van
you have a lot of courage | sok bátorságod van
you have a lot of patience | sok türelmed van
you have a choice | van választásod
you have a chance | van esélyed
you have nothing to lose | nincs mit veszítened
you have nothing to fear | nincs mitől félned
he has a car | van autója
he has a house | van háza
he has a family | van családja
he has a job | van munkája
he has experience | van tapasztalata
he has knowledge | van tudása
he has power | van hatalma
he has influence | van befolyása
he has no choice | nincs választása
he has no time to lose | nincs vesztegetni való ideje
she has a beautiful voice | gyönyörű hangja van
she has a kind heart | kedves szíve van
she has a lot of friends | sok barátja van
she has a lot of talent | sok tehetsége van
she has a bright future | fényes jövő előtt áll
she has a difficult past | nehéz múltja van
she has everything | mindene megvan
she has nothing | nincs semmije
she has to go now | most mennie kell
she has to work hard | keményen kell dolgoznia
we have a meeting | van egy megbeszélésünk
we have a deadline | van határidőnk
we have a goal | van célunk
we have a mission | van egy küldetésünk
we have responsibilities | vannak felelősségeink
we have obligations | vannak kötelezettségeink
we have no time to waste | nincs vesztegetni való időnk
we have no other option | nincs más lehetőségünk
we have to be careful | óvatosnak kell lennünk
we have to move forward | előre kell lépnünk
they have a lot of money | sok pénzük van
they have a big house | nagy házuk van
they have many children | sok gyerekük van
they have many problems | sok problémájuk van
they have many questions | sok kérdésük van
they have no answers | nincsenek válaszaik
they have no proof | nincs bizonyítékuk
they have no evidence | nincs bizonyítékuk
they have to decide | dönteniük kell
they have to choose | választaniuk kell
it has many features | sok funkciója van
it has a long battery life | hosszú az akkumulátor-élettartama
it has a big screen | nagy a kijelzője
it has a good camera | jó a kamerája
it has no memory | nincs memóriája
it has no power | nincs áram alatt
it has to be fixed | meg kell javítani
it has to be replaced | ki kell cserélni
this has to stop | ennek meg kell állnia
this has to change | ennek változnia kell
this has never happened before | ez még soha nem történt meg
this has been a long day | hosszú nap volt
this has been a great year | nagyszerű év volt
this has been a difficult time | nehéz időszak volt
that has nothing to do with me | annak semmi köze hozzám
that has nothing to do with you | annak semmi köze hozzád
that has already been done | az már meg lett csinálva
that has been decided | az már el lett döntve
that has been said before | azt már mondták korábban
that has to be enough | annak elégnek kell lennie
there has been a change | változás történt
there has been a mistake | hiba történt
there has been an accident | baleset történt
there has been a misunderstanding | félreértés történt
there has been no news | nem érkezett hír
there has never been anything like this | ilyen még soha nem volt
there has to be a way | kell hogy legyen valami út
there has to be another option | kell lennie más lehetőségnek
there has to be an explanation | kell lennie magyarázatnak
there has to be something we can do | kell lennie valaminek, amit tehetünk
I am going to sleep | megyek aludni
I am going to work | megyek dolgozni
I am going to eat | megyek enni
I am going to drink | megyek inni
I am going to buy it | meg fogom venni
I am going to sell it | el fogom adni
I am going to keep it | meg fogom tartani
I am going to throw it away | ki fogom dobni
I am going to fix it | meg fogom javítani
I am going to break it | el fogom törni
I am going to learn | meg fogom tanulni
I am going to teach | tanítani fogok
I am going to ask | meg fogom kérdezni
I am going to answer | válaszolni fogok
I am going to wait | várni fogok
I am going to leave | el fogok menni
I am going to stay | maradni fogok
I am going to come | jönni fogok
I am going to return | vissza fogok térni
I am going to start | el fogom kezdeni
I am going to finish | be fogom fejezni
I am going to stop | meg fogok állni
I am going to continue | folytatni fogom
I am going to change | változni fogok
I am going to try | meg fogom próbálni
I am going to succeed | sikert fogok elérni
I am going to fail | kudarcot fogok vallani
I am going to win | nyerni fogok
I am going to lose | veszíteni fogok
I am going to rest | pihenni fogok
you are going to love it | imádni fogod
you are going to hate it | utálni fogod
you are going to enjoy it | élvezni fogod
you are going to regret it | meg fogod bánni
you are going to remember it | emlékezni fogsz rá
you are going to forget it | el fogod felejteni
you are going to understand | meg fogod érteni
